what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413785045
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413957270
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413959760
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413965104
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413966886
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413978707
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413981171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327414112590
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327414116589
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327414208180
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.aboutAction",1327414208188
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327414209177
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327414226187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327414230276
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327414232098
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327414232148
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1327414232610
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1327414232690
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1327414276060
started,bundle,org.eclipse.osgi,3.5.0.v20090520,"org.eclipse.osgi",1327414276061
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.100.v20090520-1905,"org.eclipse.equinox.simpleconfigurator",1327414276062
started,bundle,com.ibm.icu,4.0.1.v20090415,"com.ibm.icu",1327414276063
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1327414276064
started,bundle,org.eclipse.core.contenttype,3.4.0.v20090429-1800,"org.eclipse.core.contenttype",1327414276065
started,bundle,org.eclipse.core.databinding.observable,1.2.0.I20090604-2000,"org.eclipse.core.databinding.observable",1327414276066
started,bundle,org.eclipse.core.expressions,3.4.100.v20090429-1800,"org.eclipse.core.expressions",1327414276067
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1327414276068
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1327414276069
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1327414276070
started,bundle,org.eclipse.core.net,1.2.0.I20090522-1010,"org.eclipse.core.net",1327414276070
started,bundle,org.eclipse.core.resources,3.5.0.v20090512,"org.eclipse.core.resources",1327414276071
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1327414276072
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1327414276073
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1327414276074
started,bundle,org.eclipse.ecf,3.0.0.v20090604-1131,"org.eclipse.ecf",1327414276075
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090604-1131,"org.eclipse.ecf.filetransfer",1327414276076
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090604-1131,"org.eclipse.ecf.identity",1327414276077
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer",1327414276078
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer.httpclient",1327414276079
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1327414276079
